State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
PA	LUZERNE	WILKES BARRE	 medium 	" 77,556 "	" 8,954 "	" 65,511 "	 98 	" 15,616 "	 11 	 13 	 7 	 4 	 5 	 40 	" 36,084 "	" 1,429,586 "								
CA	BUTTE	CHICO	 medium 	" 95,588 "	" 6,493 "	" 42,231 "	 1 	" 21,818 "	 15 	 8 	 7 	 5 	 5 	 40 	" 39,288 "	" 1,556,908 "								
NY	QUEENS	EAST ELMHURST	 medium 	" 79,252 "	" 6,755 "	" 51,944 "	 160 	" 12,138 "	 9 	 10 	 9 	 5 	 6 	 40 	" 21,868 "	" 869,550 "								
NY	MONROE	ROCHESTER	 medium 	" 488,602 "	" 7,718 "	" 71,006 "	 25 	" 16,970 "	 12 	 10 	 7 	 5 	 6 	 40 	" 209,935 "	" 8,367,923 "								
NY	WESTCHESTER	MOUNT VERNON	 medium 	" 68,334 "	" 5,696 "	" 33,176 "	 387 	" 13,070 "	 10 	 11 	 8 	 5 	 6 	 40 	" 27,016 "	" 1,077,048 "								
CA	LOS ANGELES	HUNTINGTON PARK	 medium 	" 78,104 "	" 5,915 "	" 29,651 "	 -   	" 16,974 "	 11 	 6 	 13 	 5 	 5 	 40 	" 19,270 "	" 770,075 "								
NY	WESTCHESTER	YONKERS	 medium 	" 176,600 "	" 6,030 "	" 36,953 "	 295 	" 14,187 "	 10 	 11 	 8 	 5 	 6 	 40 	" 68,512 "	" 2,738,651 "								
AR	GARLAND	HOT SPRINGS NATIONAL PARK	 medium 	" 66,635 "	" 12,177 "	" 38,207 "	 0 	" 17,893 "	 12 	 12 	 7 	 4 	 5 	 40 	" 34,244 "	" 1,369,179 "								
PA	LACKAWANNA	SCRANTON	 medium 	" 95,430 "	" 9,196 "	" 73,737 "	 70 	" 15,420 "	 11 	 13 	 7 	 4 	 5 	 40 	" 44,167 "	" 1,766,316 "								
RI	PROVIDENCE	PAWTUCKET	 medium 	" 73,005 "	" 6,836 "	" 52,167 "	 229 	" 16,986 "	 12 	 12 	 7 	 4 	 5 	 40 	" 31,843 "	" 1,273,975 "								
MA	HAMPDEN	SPRINGFIELD	 medium 	" 143,522 "	" 6,573 "	" 53,426 "	 230 	" 16,191 "	 11 	 12 	 8 	 5 	 5 	 40 	" 57,375 "	" 2,296,219 "								
FL	MARTIN	STUART	 medium 	" 58,671 "	" 10,475 "	" 13,201 "	 2 	" 17,910 "	 13 	 10 	 6 	 5 	 6 	 40 	" 32,560 "	" 1,303,180 "								
